,country_code,code_year,Country,Continent,year,One.person,Couple.only,Couple.with.children,Single.parent.with.children,Single.mother.with.children,Single.father.with.children,Extended.family,Non.relatives,Unknown,relative_parental_care,no_adult_male,no_adult_female,annual_ASR,NO_MALE,NO_FEMALE,ASR.15.49,GDP_per_capita,PD,mean_years_of_schooling,unemployment_rate,unemployment_rate_full,median.age_full,median.age,Main.religion
12,32,32_2010,Argentina,South America,2010,17.74020666,11.71406208,36.83157209,13.42892011,NA,NA,NA,NA,20.28523906,NA,14479.931,15768.22,0.478704665,10137.108,10355.484,0.494671831,10385.96443,14.90430155,10.3,1.38,1.38,29.6,29.6,Christianity
13,32,32_2010,Argentina,South America,2010,17.59833909,13.34312657,36.77214119,11.73118539,9.71823071,2.012954683,18.06680436,2.48840339,0,0.683753207,14479.931,15768.22,0.478704665,10137.108,10355.484,0.494671831,10385.96443,14.90430155,10.3,1.38,1.38,29.6,29.6,Christianity
14,36,36_2006,Australia,Oceania,2006,24.36252974,25.14359405,30.71850358,9.326411816,NA,NA,NA,NA,10.44896081,NA,8171.478,8333.654,0.495087104,5177.207,5097.581,0.503874824,36044.92281,2.694232196,11.3,NA,1.07,36.5,NA,Christianity
15,36,36_2011,Australia,Oceania,2011,24.33786897,25.09189696,29.89611771,9.103784611,NA,NA,NA,NA,11.57033175,NA,9060.304,9187.367,0.496518378,5622.808,5500.678,0.505489736,62517.83375,2.90798641,12.7,1.08,1.08,36.8,NA,Christianity
16,36,36_2016,Australia,Oceania,2016,22.83489153,24.38931333,29.45354367,9.931521573,NA,NA,NA,NA,13.39072989,NA,9724.483,9939.922,0.494522107,5854.004,5784.62,0.502980765,49971.13146,3.144935531,12.6,1.02,1.02,37.2,NA,Christianity
17,40,40_1991,Austria,Europe,1991,29.59432594,19.54723018,31.48479428,7.712221333,6.586104925,1.126116409,8.968440198,2.692988075,0,0.767045359,3049.316,3405.723,0.472393118,2022.448,1981.851,0.505069177,22410.91177,93.90761686,8.7,1.06,1.06,36.5,NA,Christianity
18,40,40_2001,Austria,Europe,2001,33.533623,20.5746508,29.00487265,8.86119348,NA,NA,NA,NA,8.025660077,NA,3242.612,3510.655,0.480154568,2065.089,2007.27,0.507098957,24537.51426,97.38790264,9.2,NA,0.96,38.2,NA,Christianity
19,40,40_2001,Austria,Europe,2001,33.46857502,20.67760577,28.99002904,7.970775818,6.847022188,1.123753631,7.608467826,1.284546516,0,0.784830627,3242.612,3510.655,0.480154568,2065.089,2007.27,0.507098957,24537.51426,97.38790264,9.2,NA,0.96,38.2,NA,Christianity
20,40,40_2001,Austria,Europe,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3242.612,3510.655,0.480154568,2065.089,2007.27,0.507098957,24537.51426,97.38790264,9.2,NA,0.96,38.2,NA,Christianity
21,40,40_2011,Austria,Europe,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3493.373,3732.519,0.483452147,2070.147,2037.475,0.503976997,51374.95841,101.6417316,11.8,1.01,1.01,41.9,NA,Christianity
22,40,40_2011,Austria,Europe,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3493.373,3732.519,0.483452147,2070.147,2037.475,0.503976997,51374.95841,101.6417316,11.8,1.01,1.01,41.9,NA,Christianity
23,40,40_2011,Austria,Europe,2011,36.28870562,21.35346719,25.29739192,8.837070251,NA,NA,NA,NA,8.223365026,NA,3493.373,3732.519,0.483452147,2070.147,2037.475,0.503976997,51374.95841,101.6417316,11.8,1.01,1.01,41.9,NA,Christianity
24,44,44_2010,Bahamas,North America,2010,17.73097958,8.309815294,23.67601549,12.87296366,NA,NA,NA,NA,37.41022597,NA,124.333,135.181,0.479099393,94.386,99.742,0.486204978,28443.40766,35.45874126,11.5,1.03,1.03,29.4,29.4,Christianity
25,50,50_1991,Bangladesh,Asia,1991,2.966124779,3.897692069,45.25777512,7.7857857,6.546808986,1.238976713,NA,NA,40.09262233,0.722966526,31997.702,29552.271,0.519865411,25864.871,24126.669,0.517384962,293.1604155,811.2401245,2.9,0.93,0.93,18.6,NA,Islam
26,50,50_1994,Bangladesh,Asia,1994,1.545442896,4.138581815,46.94437096,5.073351868,4.282484463,0.790867405,36.82936446,5.365516877,0.103371122,0.733592119,34909.309,32413.824,0.518533637,28195.822,26370.867,0.516722244,299.5330397,866.0803795,3.2,NA,0.93,18.6,NA,Islam
27,50,50_1997,Bangladesh,Asia,1997,1.883779236,3.765648879,47.58155427,5.243172467,4.380936845,0.862235621,36.74691629,4.750263966,0.028664889,0.705941032,38109.93,35568.697,0.517245388,30743.048,28863.229,0.515768633,401.4986908,923.1048936,3.6,NA,0.83,19.6,NA,Islam
28,50,50_2000,Bangladesh,Asia,2000,1.5271554,4.097646871,49.762583,4.418895609,3.98992589,0.428969718,35.40027802,4.762211715,0.031229384,0.968538194,41536.344,38942.982,0.516111976,33516.562,31601.711,0.51470287,418.0689683,980.7010371,4.1,1.02,1.02,21,21,Islam
29,50,50_2001,Bangladesh,Asia,2001,3.067714075,5.287639903,48.7124833,7.000985598,6.036591915,0.964393683,NA,NA,35.93117713,0.796537461,42615.955,40028.137,0.5156564,34428.34,32545.487,0.514056633,415.0344266,999.3754475,4.3,NA,1.02,21,NA,Islam
30,50,50_2004,Bangladesh,Asia,2004,1.702454098,4.484759166,50.55180762,5.312987506,5.010795484,0.302192021,35.35021907,2.575802371,0.021970172,1.219623684,45844.231,43322.726,0.514139234,37178.414,35450.561,0.511895067,475.2919198,1052.365614,4.5,NA,1.02,21,NA,Islam
31,50,50_2007,Bangladesh,Asia,2007,2.257475128,5.49679729,47.69034889,6.43682154,5.955513159,0.481308381,35.47165723,2.646899928,0,1.092495764,48519.434,46437.265,0.510963782,39265.732,38041.032,0.50792104,558.0518603,1095.954337,4.7,NA,2.1,22.5,NA,Islam
32,50,50_2011,Bangladesh,Asia,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51883.471,50488.572,0.50681289,41494.079,40996.252,0.503017487,861.7584443,1146.760221,5.7,1.74,1.74,24,NA,Islam
33,50,50_2011,Bangladesh,Asia,2011,1.735012545,6.153271783,48.49536571,5.290522039,4.942333078,0.348188961,36.80735276,1.518475157,0,1.152117012,51883.471,50488.572,0.50681289,41494.079,40996.252,0.503017487,861.7584443,1146.760221,5.7,1.74,1.74,24,NA,Islam
34,50,50_2011,Bangladesh,Asia,2011,3.365891224,6.612536219,47.66508791,7.900793606,7.149548581,0.751245025,30.32126191,3.407443901,0.726985229,0.978497012,51883.471,50488.572,0.50681289,41494.079,40996.252,0.503017487,861.7584443,1146.760221,5.7,1.74,1.74,24,NA,Islam
35,50,50_2014,Bangladesh,Asia,2014,1.738486814,7.083803985,46.92579064,5.96631542,5.64183868,0.324476739,37.05267267,1.232930463,0,1.240237095,54852.18,53599.655,0.505774568,43234.112,42893.439,0.501977724,1118.853663,1187.064354,5.2,2.36,2.36,24,NA,Islam
36,51,51_2000,Armenia,Asia,2000,8.410597501,7.926242811,34.89189931,7.038561511,6.375885174,0.662676337,41.6189812,0.113717666,0,0.983239024,1031.046,1246.252,0.452749706,745.568,862.708,0.463582121,622.7421391,107.8184405,10.8,1.8,1.8,30.6,30.6,Christianity
37,51,51_2001,Armenia,Asia,2001,10.18498932,NA,NA,NA,NA,NA,NA,NA,89.81501068,NA,1039.56,1254.327,0.453187101,750.611,866.513,0.464164158,694.4232277,107.1544433,10.7,NA,1.8,30.6,NA,Christianity
38,51,51_2001,Armenia,Asia,2001,10.95704818,7.017051349,37.34697116,9.796287029,8.834478634,0.961808395,34.42981118,0.45283111,0,0.963092361,1039.56,1254.327,0.453187101,750.611,866.513,0.464164158,694.4232277,107.1544433,10.7,NA,1.8,30.6,NA,Christianity
39,51,51_2005,Armenia,Asia,2005,13.06479534,9.529440349,29.03036367,10.57473742,9.727595833,0.847141583,37.57205092,0.115182401,0.113429906,1.060049518,1066.081,1275.357,0.455310369,756.316,863.907,0.466797472,1643.753029,104.7161574,10.9,1.17,1.17,31.8,31.8,Christianity
40,51,51_2010,Armenia,Asia,2010,15.26327762,10.97813488,27.33439948,9.95822717,9.177760419,0.780466751,36.01437041,0.431159003,0.020431438,1.07038231,1047.261,1270.106,0.451918492,703.346,814.386,0.463419102,3218.372707,101.0649456,11.1,1.25,1.25,32.9,32.9,Christianity
41,51,51_2011,Armenia,Asia,2011,10.96277136,7.07858762,31.45173627,8.4984772,7.463807418,1.034669782,41.38540059,0.623026965,0,0.85815866,1047.131,1270.269,0.451855959,697.547,804.335,0.464448605,3525.804747,101.0375132,11.2,1.13,1.13,32.9,NA,Christianity
42,51,51_2011,Armenia,Asia,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047.131,1270.269,0.451855959,697.547,804.335,0.464448605,3525.804747,101.0375132,11.2,1.13,1.13,32.9,NA,Christianity
43,51,51_2016,Armenia,Asia,2016,15.19322685,13.41965468,27.16988007,7.369702579,6.735909752,0.633792827,35.74851439,1.099021437,0,1.02644894,1063.692,1277.571,0.454324012,688.915,763.385,0.474361358,3591.829276,103.1312259,11.5,0.99,0.99,33.8,NA,Christianity
44,56,56_2001,Belgium,Europe,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4134.416,4385.065,0.485289656,2539.136,2457.084,0.508211408,22995.15752,339.7149934,10.2,NA,1.56,39,NA,Christianity
45,56,56_2001,Belgium,Europe,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4134.416,4385.065,0.485289656,2539.136,2457.084,0.508211408,22995.15752,339.7149934,10.2,NA,1.56,39,NA,Christianity
46,56,56_2011,Belgium,Europe,2011,33.95725765,24.55716447,26.85452758,9.183454069,NA,NA,NA,NA,5.447596232,NA,4456.4,4694.084,0.48701249,2580.208,2509.875,0.506908826,47348.52502,364.5397622,11.2,1.01,1.01,40.9,NA,Christianity
47,56,56_2011,Belgium,Europe,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4456.4,4694.084,0.48701249,2580.208,2509.875,0.506908826,47348.52502,364.5397622,11.2,1.01,1.01,40.9,NA,Christianity
48,64,64_2005,Bhutan,Asia,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.819,196.343,0.533806469,180.43,159.045,0.531497165,1228.441824,17.01967626,2.3,1.14,1.14,21.4,21.4,Buddhism
49,68,68_1992,Bolivia (Plurinational State of),South America,1992,11.64618077,5.541913662,37.943986,15.22158663,11.34736565,3.874220971,18.8481784,10.3637659,0.434388639,0.466710662,2162.28,2171.419,0.498945589,1714.01,1680.736,0.504900808,788.1519898,6.610283393,6.7,NA,1.59,20,NA,Christianity
50,68,68_1994,Bolivia (Plurinational State of),South America,1994,8.234653737,6.296478441,46.93199496,10.36700364,8.157233293,2.20977035,22.92686383,5.178300764,0.064704622,0.567195741,2272.563,2280.067,0.499175861,1797.649,1763.303,0.504822587,801.0460297,6.892636389,7,NA,1.59,20,NA,Christianity
51,68,68_1998,Bolivia (Plurinational State of),South America,1998,10.00911794,7.334971995,46.86084256,9.815538328,7.629115316,2.186423012,20.57129544,5.400617663,0.007616074,0.54273999,2495.519,2504.914,0.499060581,1958.74,1927.982,0.503956805,1049.499374,7.474163205,7.3,NA,1.58,20.5,NA,Christianity
52,68,68_2001,Bolivia (Plurinational State of),South America,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2675.66,2686.249,0.499012572,2088.572,2056.994,0.503808648,948.8712066,7.92046063,7.3,NA,1.58,21.1,NA,Christianity
53,68,68_2001,Bolivia (Plurinational State of),South America,2001,15.2033774,5.006951993,31.41593144,15.42533559,12.05500923,3.370326364,25.1070607,7.841342872,0,0.553495589,2675.66,2686.249,0.499012572,2088.572,2056.994,0.503808648,948.8712066,7.92046063,7.3,NA,1.58,21.1,NA,Christianity
54,68,68_2003,Bolivia (Plurinational State of),South America,2003,12.12090141,7.026903747,45.6404754,10.35145028,8.08812747,2.263322812,22.84078834,1.931864085,0.087616735,0.553101487,2802.403,2811.303,0.499207297,2181.056,2142.847,0.504418346,907.5371101,8.221012647,7.1,NA,1.58,21.1,NA,Christianity
55,68,68_2008,Bolivia (Plurinational State of),South America,2008,12.76075304,8.131144446,43.08403908,11.66560456,9.091882778,2.573721778,22.72649192,1.631966963,0,0.54809223,3142.097,3149.502,0.499411517,2428.981,2378.504,0.505249834,1715.208922,8.973925967,7.6,NA,1.6,21.9,NA,Christianity
56,68,68_2012,Bolivia (Plurinational State of),South America,2012,20.47941895,5.503622741,25.37264768,16.66068665,NA,NA,NA,NA,31.98362398,NA,3435.583,3447.826,0.499110688,2638.575,2585.054,0.505122971,2609.880814,9.57968799,8,1.87,1.87,22.9,NA,Christianity
57,72,72_1991,Botswana,Africa,1991,18.04127444,3.587979725,8.743664012,8.892107169,7.277335264,1.614771904,NA,NA,0,0.653861199,338.423,398.438,0.45927658,280.178,328.729,0.460132664,2972.726711,2.340306672,5.8,1.47,1.47,17.2,NA,Christianity
58,72,72_2001,Botswana,Africa,2001,23.36165019,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.477,546.941,0.472277595,410.735,453.891,0.475043545,3278.00825,2.954983855,7.7,NA,1.17,19.7,NA,Christianity
59,72,72_2001,Botswana,Africa,2001,23.27897208,5.211267606,9.206819867,8.700271806,7.091672844,1.608598962,43.73610082,9.866567828,0,0.644300908,489.477,546.941,0.472277595,410.735,453.891,0.475043545,3278.00825,2.954983855,7.7,NA,1.17,19.7,NA,Christianity
60,72,72_2011,Botswana,Africa,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627.912,684.42,0.478470387,526.471,553.401,0.48753093,7617.32516,3.556194308,8.9,1.44,1.44,22.2,NA,Christianity
61,72,72_2011,Botswana,Africa,2011,27.89102064,6.0370646,10.31891529,9.342384695,7.866698129,1.475686566,38.52576552,7.877588804,0.007260451,0.726798361,627.912,684.42,0.478470387,526.471,553.401,0.48753093,7617.32516,3.556194308,8.9,1.44,1.44,22.2,NA,Christianity
62,76,76_1991,Brazil,South America,1991,6.668220469,9.54586074,51.12249775,8.112782551,7.116406274,0.996376277,19.78985432,4.760784168,0,0.853837355,48698.609,50336.504,0.491730736,39264.806,39666.264,0.497456908,3975.390089,18.143751,3.9,1.5,1.5,22.6,NA,Christianity
63,76,76_1991,Brazil,South America,1991,6.80956258,7.18017118,45.82732888,8.275844171,7.353513192,0.922330978,24.27527551,7.612323356,0.019494324,0.90160808,48698.609,50336.504,0.491730736,39264.806,39666.264,0.497456908,3975.390089,18.143751,3.9,1.5,1.5,22.6,NA,Christianity
64,76,76_1996,Brazil,South America,1996,6.105147403,8.733301345,49.62498327,8.975984063,7.67191431,1.304069753,21.75988282,4.728813003,0.071888091,0.769602922,54723.248,56842.291,0.490503147,43875.134,44420.501,0.496911699,5166.163745,19.69513408,4.8,NA,1.5,23.9,NA,Christianity
65,76,76_2000,Brazil,South America,2000,8.859477667,10.6521741,48.15239735,10.17381257,NA,NA,NA,NA,22.16213831,NA,59956.298,62505.021,0.489593763,47553.174,48163.993,0.496809251,3749.75325,20.91258821,5.6,1.63,1.63,25.3,25.3,Christianity
66,76,76_2000,Brazil,South America,2000,8.929955111,10.61670295,47.74257759,10.07719527,8.898853695,1.178341571,20.13714348,2.496425601,0,0.878062867,59956.298,62505.021,0.489593763,47553.174,48163.993,0.496809251,3749.75325,20.91258821,5.6,1.63,1.63,25.3,25.3,Christianity
67,76,76_2010,Brazil,South America,2010,12.00075542,13.90276845,40.41406422,10.46929418,9.139480464,1.329813714,20.8617713,2.351346433,0,0.837130701,71768.854,75362.082,0.487789013,53902.698,54423.722,0.49759512,11286.24302,23.41593165,6.9,1.9,1.9,29.2,29.2,Christianity
68,96,96_2011,Brunei Darussalam,Asia,2011,7.216026496,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.95,141.472,0.51785483,123.571,113.822,0.520533461,47055.84112,74.70360531,8.8,1.41,1.41,27.5,NA,Islam
69,100,100_2001,Bulgaria,Europe,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3245.84,3481.448,0.482488634,1962.044,1917.295,0.505767606,1770.913534,72.3957516,9.9,NA,0.95,39.7,NA,Christianity
70,100,100_2001,Bulgaria,Europe,2001,22.68578491,21.0211757,31.09319423,6.523421337,NA,NA,NA,NA,18.67642383,NA,3245.84,3481.448,0.482488634,1962.044,1917.295,0.505767606,1770.913534,72.3957516,9.9,NA,0.95,39.7,NA,Christianity
71,100,100_2011,Bulgaria,Europe,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3074.414,3296.089,0.482601452,1769.27,1668.2,0.514701219,7809.425062,67.68909359,10.9,0.82,0.82,42.3,NA,Christianity
72,100,100_2011,Bulgaria,Europe,2011,30.78880712,19.93955261,25.03915206,6.978299428,NA,NA,NA,NA,17.25418878,NA,3074.414,3296.089,0.482601452,1769.27,1668.2,0.514701219,7809.425062,67.68909359,10.9,0.82,0.82,42.3,NA,Christianity
73,104,104_2016,Myanmar,Asia,2016,5.354498397,7.311720515,40.5723548,8.517412027,6.736226956,1.781185071,36.820585,1.409809527,0.013619736,0.577707665,18275.219,20272.816,0.474089509,14042.27,14779.062,0.48721794,1266.546338,81.22316715,4.9,1.45,1.45,27.5,NA,Buddhism
74,108,108_2008,Burundi,Africa,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150.913,2263.414,0.487257287,1855.653,1917.949,0.491745817,198.3529006,316.4369938,2.5,NA,0.56,16.2,NA,Christianity
75,108,108_2010,Burundi,Africa,2010,5.771999952,4.326177746,48.18014657,14.0900842,12.81836245,1.27172175,20.9745407,6.627789388,0.029261443,1.003440449,2323.158,2436.252,0.488118905,1998.059,2059.472,0.49243222,234.2356469,337.8349688,2.6,0.57,0.57,17,17,Christianity
76,108,108_2012,Burundi,Africa,2012,6.191147209,4.269820393,51.6679929,13.12072717,11.79261036,1.328116804,18.76374824,5.846129423,0.140434674,0.948373678,2472.416,2590.27,0.488360526,2120.798,2184.112,0.492646304,252.3589799,360.0462617,2.7,0.57,0.57,17,NA,Christianity
77,108,108_2016,Burundi,Africa,2016,6.042050951,3.067628434,47.66833123,14.76012757,13.5082387,1.25188887,20.61272611,7.845078792,0.004056917,1.033032948,2791.136,2918.36,0.488858561,2390.728,2453.145,0.493557118,282.1931304,408.4111371,3,0.57,0.57,17.1,NA,Christianity
78,112,112_1999,Belarus,Europe,1999,23.3366767,17.95896163,34.21790796,10.74693006,9.803138228,0.943791827,12.42824519,1.311278468,0,1.016488914,3680.604,4335.288,0.459163372,2566.239,2597.509,0.496972161,1210.61172,49.43175902,8.8,NA,0.77,34.7,NA,Christianity
79,112,112_1999,Belarus,Europe,1999,26.15616081,16.76049516,33.34228421,10.54682564,NA,NA,NA,NA,13.19423418,NA,3680.604,4335.288,0.459163372,2566.239,2597.509,0.496972161,1210.61172,49.43175902,8.8,NA,0.77,34.7,NA,Christianity
80,112,112_2009,Belarus,Europe,2009,26.99718445,17.55769923,27.10098865,11.41790399,10.25010673,1.167797258,15.80502669,1.121196985,0,0.943360936,3666.878,4364.092,0.456592168,2433.614,2468.881,0.496403158,5351.355382,46.87291687,11.9,NA,0.68,38.1,NA,Christianity
81,112,112_2009,Belarus,Europe,2009,29.65364786,16.54319662,26.69537551,12.2841189,NA,NA,NA,NA,14.82366111,NA,3666.878,4364.092,0.456592168,2433.614,2468.881,0.496403158,5351.355382,46.87291687,11.9,NA,0.68,38.1,NA,Christianity
82,116,116_1998,Cambodia,Asia,1998,2.572143515,3.8024801,49.99375581,12.17385674,10.83204981,1.34180693,29.83288699,1.624876851,0,0.907020618,3030.397,3422.862,0.469591721,2514.351,2791.39,0.473892525,268.9904186,65.71781101,NA,NA,1.05,17.1,NA,Buddhism
83,116,116_2000,Cambodia,Asia,2000,1.865142063,2.298476991,53.65793619,9.322443387,8.357047817,0.96539557,31.38034334,1.355586015,0.120072011,0.937347585,3339.925,3759.809,0.470429596,2806.859,3078.483,0.476923686,302.5771636,68.86040675,3.5,1.04,1.04,18,18,Buddhism
84,116,116_2004,Cambodia,Asia,2004,2.719253305,4.162175736,49.90249841,11.74493807,10.4740833,1.270854771,30.31692553,1.154208946,0,0.9160201,3831.611,4293.623,0.471569311,3213.442,3464.838,0.481178088,408.5138263,74.02259801,4.2,NA,1.04,18,NA,Buddhism
85,116,116_2005,Cambodia,Asia,2005,2.949574311,3.546923928,49.88194177,8.284895651,7.178311949,1.106583702,33.45305913,1.827015588,0.056589616,0.812038058,3941.318,4412.123,0.471819697,3304.162,3543.989,0.482489653,474.1112278,75.19461817,4.3,1.06,1.06,19.8,19.8,Buddhism
86,116,116_2008,Cambodia,Asia,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4301.158,4774.336,0.473931006,3611.784,3797.414,0.487473003,745.6091807,78.65303648,4.8,NA,1.06,19.8,NA,Buddhism
87,116,116_2008,Cambodia,Asia,2008,3.548143232,4.671822483,50.91409852,10.08188023,8.706562131,1.375318098,29.32355645,1.46049909,0,0.801443546,4301.158,4774.336,0.473931006,3611.784,3797.414,0.487473003,745.6091807,78.65303648,4.8,NA,1.06,19.8,NA,Buddhism
88,116,116_2010,Cambodia,Asia,2010,2.833942987,3.740328206,48.20218202,7.302405993,6.205283237,1.097122756,36.39254602,1.521305533,0.007289239,0.752506387,4539.169,5003.265,0.475682515,3801.771,3941.581,0.490972256,785.5022829,81.07983231,5.1,1.07,1.07,22.6,22.6,Buddhism
89,116,116_2013,Cambodia,Asia,2013,2.70845947,4.653478746,52.54384171,8.146434014,7.273777748,0.872656266,31.42248279,0.525303271,0,0.920916815,4869.474,5331.787,0.477340399,4021.379,4138.017,0.492852535,1013.420401,85.12537956,5.6,1.05,1.05,22.6,NA,Buddhism
90,116,116_2014,Cambodia,Asia,2014,3.37234042,4.843478418,45.13437958,6.000064656,4.929584413,1.070480243,39.55290466,1.096832269,0,0.663231651,4975.547,5439.866,0.477710005,4084.044,4198.027,0.49311869,1093.496191,86.53128824,5.8,1.06,1.06,22.6,NA,Buddhism
91,120,120_1991,Cameroon,Africa,1991,14.18673138,5.448320515,22.00167039,3.986312982,2.988577197,0.997735785,41.69645464,12.65181432,0.028695768,0.476448929,3194.213,3294.851,0.492245569,2599.021,2621.622,0.49783542,1024.424135,25.67729052,2.7,5.44,5.44,17.9,NA,Christianity
92,120,120_1998,Cameroon,Africa,1998,12.70167367,5.681975655,21.72356166,5.249316384,4.129033729,1.120282655,47.46690255,7.108582989,0.067987086,0.566520819,3941.945,4057.928,0.492750947,3266.395,3287.952,0.498355519,720.7969746,31.14757039,3.1,NA,5.25,17.3,NA,Christianity
93,120,120_2004,Cameroon,Africa,2004,17.60038526,5.486317076,22.13654604,7.218765272,5.429466251,1.789299021,43.74889339,3.711454728,0.097638247,0.482074214,4740.417,4861.08,0.493716449,3988.197,3997.511,0.499416833,1009.94312,36.5114383,3.5,NA,2.62,18.1,NA,Christianity
94,120,120_2005,Cameroon,Africa,2005,12.58747443,4.832833199,28.90591377,9.605827109,7.634078328,1.971748781,39.17351036,4.774173009,0.120268127,0.587905031,4889.903,5009.08,0.493980341,4123.536,4128.731,0.499685238,1011.880073,37.51435341,3.5,1.26,1.26,20.4,20.4,Christianity
95,120,120_2011,Cameroon,Africa,2011,15.14269148,4.040457941,25.11434001,7.299631551,5.844807687,1.454823864,42.97068748,5.255978658,0.176212881,0.60395981,5840.085,5942.172,0.495667766,4964.466,4947.956,0.500832793,1405.094392,44.22666751,4.4,0.7,0.7,22.7,NA,Christianity
96,124,124_2001,Canada,North America,2001,25.74493156,25.16809039,33.3618727,10.24096307,NA,NA,NA,NA,5.484142273,NA,12320.048,12743.062,0.491561023,8144.655,7978.507,0.505152463,23738.18072,3.459995605,4.9,NA,0.78,17.2,NA,Christianity
97,124,124_2006,Canada,North America,2006,26.75021528,25.10731684,29.61591063,8.958574372,NA,NA,NA,NA,9.567982874,NA,13230.998,13644.238,0.492311881,8358,8159.588,0.506006083,40385.86996,3.632909156,5.2,NA,1.09,17.6,NA,Christianity
98,124,124_2011,Canada,North America,2011,27.57617707,25.48287954,27.59783523,8.957435132,NA,NA,NA,NA,10.38567303,NA,14224.257,14645.203,0.492709493,8502.321,8328.294,0.505169954,52087.44638,3.830124732,5.5,1.4,1.4,17.9,NA,Christianity
